Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio,Score_Homeownership,Grades_Homeownership,Disparity Ratio-Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio-Unemployment,Score_Unemployment,Grades_Unemployment
Capital Region,0.910462512216811,-0.666686687517833,C-,3.69052283972736,-1.28859127701091,D-,4.18483318317194,-1.87333495887012,E,0.740493251877029,-0.140334755904486,C,0.824983365379562,0.54379582783865,B-,5.3010308275795,-1.63001000068914,D-
Central NY,1.0097509542822,0.282145302704854,B-,1.81727714398577,0.198633148406826,C,0,1.08784271297388,B,0.60361717498285,-0.916664793849422,D,2.5662072454853,-0.685894830940355,C-,1.3290175889913,0.276732534722596,B-
Finger Lakes,1.05881559658462,0.751022658789324,B,2.25141705321943,-0.146043195186922,C,0.450674428921554,0.768946595068877,B,0.886579342151691,0.688232387306642,B-,1.46925021110629,0.0888003898579452,C,5.74613135644938,-1.8436779972319,E
Long Island,1.09992527332919,1.14387982918651,B,0.860876565296074,0.957947478793085,B,2.00285877392646,-0.329375231353485,C-,0.884290955652378,0.675253178535063,B-,0.36891288942915,0.865882844005152,B,0.862249075214671,0.500802125116295,B-
Mid-Hudson,1.02628353261861,0.440135889324296,B-,1.9265984513126,0.111839772159028,C,1.6464180800316,-0.0771586726762272,C,0.844926495777917,0.451986897666649,B-,1.56121307392878,0.02385419042923,C,1.99039951448234,-0.0407601254817601,C
Mohawk Valley,0.740044234201608,-2.29525805530091,E,0.698430975190371,1.0869177734831,B,2.88615814240641,-0.954395692865461,D,0.770758851343559,0.0313248541268787,C,0,1.12641725271465,B,0,0.914719926763808,B
New York City,0.986406170162269,0.0590551069371694,C,1.64539199166715,0.335097787015643,B-,2.17380698791539,-0.450337767289493,C-,1.06867568825548,1.72104152742896,A-,1.62353720609291,-0.020160484544151,C,1.43639027540383,0.22518888266846,C
North Country,0.902024011178381,-0.747327692334048,C-,0.848682459409103,0.967628735321505,B,0,1.08784271297388,B,0.817290495594735,0.295241777864282,B-,0,1.12641725271465,B,0,0.914719926763808,B
Southern Tier,1.05013441646085,0.668062535304861,B-,2.32480676293894,-0.204309427490195,C,2.02899959338718,-0.347872410935716,C-,0.535016759769606,-1.30575077698079,D-,3.28995122814111,-1.19701877369568,D,2.38968568812939,-0.232435199395972,C
Western NY,1.01841807948708,0.364971112905792,B-,4.61066727302021,-2.01912079549116,E,0,1.08784271297388,B,0.500710111911009,-1.50033029619377,D-,4.24584734647993,-1.87209366838008,E,0,0.914719926763808,B
