Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio-Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio-Unemployment,Score_Unemployment,Grades_Unemployment
Capital Region,0.937767874383379,-0.416136565955758,C-,2.22212859968659,-0.0733076026826962,C,2.46920535378795,-0.671503764574932,C-,0.665058944182682,-0.421295641915937,C-,0.753668415713399,0.568327345088548,B-,4.1232142299245,-1.92063302573478,E
Central NY,0.925948958868438,-0.589199413850247,C-,3.33441954805313,-0.982246452092478,D,1.68114071072475,0.757439229272879,B,0.600881038226453,-0.765315228156766,D,3.01942689831619,-1.67843507235399,D-,2.45524251581988,-0.614474851940697,C-
Finger Lakes,0.955274685255879,-0.159786603616557,C,2.03795728136492,0.0771930072660095,C,1.70855160696588,0.707736951060528,B-,0.779813481060497,0.193835183993053,C,1.2683664041802,0.057944572299776,C,2.95601434955588,-1.00662012533417,D
Long Island,1.05432079619196,1.29053276027117,A-,1.20589107335811,0.757138576228102,B,2.35498631923432,-0.464398306125406,C-,0.918187793774966,0.935577581117354,B,0.635724137931034,0.685282780854769,B-,0.730384574244045,0.736229887217486,B-
Mid-Hudson,1.01930508220604,0.777802199180188,B,1.73103567002421,0.328002363110095,B-,1.71228198516574,0.700972914835822,B-,0.822179164501879,0.420932417396935,B-,1.38842146111616,-0.0611039458978756,C,0.996198663296271,0.528075730771513,B-
Mohawk Valley,0.820445772739551,-2.13406889280768,E,0.405227117502171,1.41142293938716,A-,1.08860759493671,1.83183845766238,A,0.756623344694757,0.0695266544680883,C,0,1.31567702275284,A-,0.515210312806504,0.904728919898997,B
New York City,1.00549558770067,0.575591561151548,B-,1.84039248936813,0.2386384590924,C,2.81728161723393,-1.30264632674159,D-,1.06316430080553,1.71271041554344,A-,1.80785137117283,-0.477017365577151,C-,1.29734812217764,0.292251091825093,B-
North Country,0.945964116093987,-0.296120061000094,C-,1.43513362603149,0.569806779301493,B-,2.73941055242198,-1.16144812242425,D,0.858292816931689,0.614516230727053,B-,0,1.31567702275284,A-,0,1.30818070244704,A-
Southern Tier,1.04071291918055,1.09127438107253,B,2.25441579776257,-0.0996919661560697,C,1.99978396218738,0.179665507634298,C,0.505167909993773,-1.27837638653859,D-,1.87563323467402,-0.544230947548929,C-,1.20473985131039,0.364770936694959,B-
Western NY,0.956633519873527,-0.139889364445126,C,4.85760153048562,-2.22695610345401,E,2.41744844019313,-0.577656540599717,C-,0.46716055247507,-1.48211122663464,D-,2.51891697505579,-1.18212141237082,D,2.42719233244569,-0.592509265845442,C-
