Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio_Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio_Unemployment,Score_Unemployment,Grades_Unemployment,Disparity Ratio_Income,Score_Income,Grades_Income,Disparity Ratio_Naturalization,Score_Naturalization,Grades_Naturalization
Capital Region,0.881532428610351,-0.177334153398788,C,4.14383649205791,-2.53048744182317,E,5.56934715606612,-2.62061346148677,E,1.24314238847634,1.41835799123175,A-,1.04475963261529,0.220194498819817,C,2.43672889348233,-0.215613856490949,C,0.643593539045806,-0.242683172556021,C,1.2287486655924,0.0885939517315999,C
Central NY,1.02111637866691,1.07074907606089,B,0.417807310117942,0.726214747807444,B-,0,0.520519409950227,B-,0.982991317083605,-0.680733937945634,C-,0.940985156765988,0.424532583409684,B-,0.403264701940056,0.746727112206358,B-,0.725200512964072,0.0363909453801165,C,0.948054833558674,-0.867255429170254,D
Finger Lakes,1.06803722959466,1.49028962589606,A-,1.01271139796409,0.20624419714739,C,0.125844827532778,0.449542451002179,B-,1.27614654871377,1.68466005184904,A-,1.05796691821885,0.194188571824999,C,6.03349839012406,-1.91779216677331,E,0.525503746983649,-0.646518812755297,C-,1.0236524860839,-0.60982202267064,C-
Long Island,0.9053876765761,0.0359664080811546,C,0.685889212458623,0.491900179745292,B-,0.465113504497662,0.258193633340024,B-,0.943955699647233,-0.995702271815945,D,0.378928793480196,1.53125482667253,A-,2.25042103527433,-0.127443292440922,C,0.689526042603802,-0.0856062427352355,C,1.0888101994574,-0.387939840444582,C-
Mid-Hudson,0.862317216997519,-0.349146051219246,C-,1.53178303054515,-0.247445680161011,C,0.640889891213407,0.159055086062744,C,1.05538779755042,-0.0965854005777566,C,1.39598510923295,-0.47138925107488,C-,3.76298205304022,-0.84326579922754,D,0.701192457169751,-0.0457102118184353,C,0.998531586237156,-0.695366462290976,C-
Mohawk Valley,0.764507152041437,-1.22371008021096,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.03072388186611,-0.295592177977131,C-,#DIV/0!,#DIV/0!,#DIV/0!,0,0.937572933598515,B,1.43590999989839,2.46682812068439,A,1.01022727272727,-0.65553902964024,C-
New York City,0.90445503194028,0.0276272105692596,C,0.91592009210858,0.290843764763425,B-,0.64733527624997,0.155419864511621,C,1.00727465147977,-0.484797972848075,C-,0.977249653408907,0.353125643292823,B-,0.962131825722238,0.482242135529334,B-,0.824219723250563,0.375010274619212,B-,1.03939558046499,-0.556211913361799,C-
North Country,0.696238466997871,-1.83413127022322,E,0.366497857421114,0.771061312014841,B,0,0.520519409950227,B-,0.892525992525993,-1.41067532020744,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.646214926100079,-0.233718726935563,C,1.29164986867021,0.302792017945899,B-
Southern Tier,0.9238837602413,0.201348257669629,C,1.11664811660693,0.115399245951675,C,0.857574411372723,0.036844196719523,C,1.11599545362743,0.392442151899797,B-,1.28765756625469,-0.258085907845765,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.279519644709266,-1.48771893417251,D-,1.8714349781788,2.27713977601602,A
Western NY,0.986177076945158,0.758340976775232,B,1.04700558250847,0.176269674554112,C,0,0.520519409950227,B-,1.12543741280333,0.468626886391378,B-,2.16916233391103,-1.99382096509921,E,0,0.937572933598515,B,0.674709977497985,-0.136273239710658,C,1.52681701784257,1.10360895188497,B
